"Genes","FDR.original","FDR.qn","FriedmanP","NumExprsses"
"ADAM12",4.08e-22,9.31908951300656e-28,0.00269979606326019,9
"ADAM8",2.33e-21,3.41874962389162e-31,NA,NA
"COL10A1",1.34e-28,5.44667330354105e-32,NA,NA
"COL3A1",3.35e-22,1.74717829212514e-30,NA,NA
"DIO2",4.63e-17,1.19494878909489e-22,NA,NA
"FAP",7.48e-23,3.41874962389162e-31,NA,NA
"GREM1",2.49e-25,3.38739224605628e-29,NA,NA
"SULF1",3.48e-21,3.38739224605628e-29,NA,NA
"THBS2",1.74e-24,3.41874962389162e-31,NA,NA
"WISP1",1.42e-21,NA,NA,NA
