"ID","adjP.qn","adjP.dp1","WicoxonP"
"ACTG2",NA,0.00286475796151632,0.00160026550292969
"ALOX5AP",6.65329390546805e-27,NA,NA
"AOC3",1.0653109185707e-42,1.35518726730219e-08,NA
"ARHGEF6",NA,4.8639804046484e-30,NA
"BCL2A1",NA,0.000187359931056778,NA
"BTK",NA,1.21662905956064e-14,NA
"C1QA",3.22866001714882e-20,NA,NA
"C1QB",2.07278853650365e-18,NA,NA
"CASP1",NA,4.67021973013895e-07,NA
"CCDC69",NA,8.41974306209015e-07,NA
"CD163",NA,0.00149413961228042,NA
"CD302",NA,5.90197047815051e-06,NA
"CD37",NA,3.65061537350145e-05,NA
"CD52",1.0854090582246e-37,NA,NA
"CD69",NA,0.00150230814853347,NA
"CD93",1.26483865427832e-32,7.22141580984647e-06,NA
"CDH5",7.69572895601567e-42,3.30317766677923e-12,NA
"COX7A1",2.91725990489337e-21,1.21892430388922e-16,NA
"CSTA",NA,3.19086098033899e-17,NA
"CXCL12",NA,4.50533482865438e-11,NA
"EDIL3",NA,0.0400103611050523,NA
"EMCN",1.07830773576771e-37,8.98436425772557e-46,NA
"ERG",1.02866483775941e-31,8.36690871881153e-26,NA
"FGR",3.28606381979932e-44,5.3794014499905e-17,NA
"FLI1",NA,1.44112120272776e-18,NA
"FOXF1",3.28606381979932e-44,1.63814146139688e-52,NA
"FPR1",3.07588225566258e-17,1.78521937257266e-11,NA
"GIMAP5",1.29884279565208e-30,NA,NA
"GIMAP6",1.46730130808775e-64,9.49448624724137e-18,NA
"HCK",NA,4.11674905369146e-05,NA
"IL7R",1.03062056584012e-25,6.07802437602015e-08,NA
"IRF8",NA,0.0352400451710283,NA
"ITGAL",NA,5.50330157859982e-08,NA
"ITIH5",3.02907680147788e-26,NA,NA
"ITM2A",1.21570838591609e-24,2.68098184001517e-08,NA
"KCNJ8",NA,1.66137382410477e-15,NA
"KDR",NA,0.0479642355487891,NA
"LAIR1",NA,0.00134337604822899,NA
"LDB2",1.11620096846791e-53,6.57122669750077e-59,NA
"LMOD1",4.47543877873749e-16,1.12996888582848e-14,NA
"LRRC32",4.00847613835797e-32,1.42322639716509e-09,NA
"LST1",NA,1.53427827704677e-09,NA
"LY86",NA,2.68098184001517e-08,NA
"LYZ",3.53879011206771e-09,NA,NA
"MNDA",NA,3.34673611337153e-07,NA
"MS4A4A",NA,1.4171956753166e-05,NA
"MSR1",1.63346812812172e-38,5.94394305191741e-14,NA
"MYO1F",NA,0.000294953636208493,NA
"NCF2",5.33643510596851e-27,5.16252188568875e-06,NA
"NCKAP1L",NA,5.30371044505192e-16,NA
"NKG7",NA,3.46620888841787e-05,NA
"OLFML1",NA,3.75763152533885e-19,NA
"PCDH12",NA,6.31456385893305e-10,NA
"PDE2A",3.07678696360776e-20,NA,NA
"PRF1",NA,3.34673611337153e-07,NA
"PTGER4",NA,1.09165028149317e-35,NA
"PTGIS",NA,5.00994962523527e-07,NA
"PTPRC",NA,0.00226243036555308,NA
"RAMP3",8.3575313559723e-46,1.03367216356155e-10,NA
"RASSF2",NA,6.1842975970952e-08,NA
"S100A8",1.76288842244555e-05,1.16848109087102e-05,NA
"SIGLEC1",NA,5.9219538057815e-09,NA
"SLA",NA,2.04886924068341e-05,NA
"SPON1",NA,0.00233213718672031,NA
"TCF21",7.84181455998427e-55,2.13842856456199e-76,NA
"TLR2",NA,0.00247986804217276,NA
"VSIG4",1.329577017812e-36,8.10082244135934e-06,NA
"ZNF423",1.64466742729983e-35,NA,NA
