"Genes","FDR.qn","FDR.dp5","FriedmanP","NumExprsses"
"ADAM12",9.31908951300656e-28,1.17464460241639e-10,1,10
"ADAM8",3.41874962389162e-31,1.5261735087721e-31,NA,NA
"COL10A1",5.44667330354105e-32,2.197446871369e-28,NA,NA
"COL3A1",1.74717829212514e-30,1.16478552808343e-30,NA,NA
"COL6A3",1.43332051800145e-26,1.37100223461009e-26,NA,NA
"FAP",3.41874962389162e-31,6.10564978732012e-14,NA,NA
"GREM1",3.38739224605628e-29,7.29678553935318e-13,NA,NA
"MXRA5",1.02812928191996e-26,7.51341095723947e-27,NA,NA
"SULF1",3.38739224605628e-29,8.10595243106004e-29,NA,NA
"THBS2",3.41874962389162e-31,1.5261735087721e-31,NA,NA
