"ID","adjP.qn","adjP.dp25","WicoxonP"
"ADAM12",4.20964447675202e-33,2.95896701806766e-05,0.0211271047592163
"ADAM8",4.01498429228167e-47,2.50950267084218e-88,NA
"ADCY7",NA,0.000103785062102092,NA
"ASPN",3.88067882113178e-11,1.12973554025726e-10,NA
"BGN",9.23064841061143e-14,NA,NA
"CCR7",NA,0.000201183124036283,NA
"CD2",NA,2.41460631280156e-15,NA
"CD248",NA,9.08665759791237e-10,NA
"CD27",3.52374830381425e-30,7.34213791746741e-20,NA
"CD300A",NA,3.27785703295483e-10,NA
"CD3D",NA,1.245513702791e-17,NA
"CD48",NA,0.000204439304311219,NA
"CILP",2.65869107328899e-15,3.59080010617334e-06,NA
"COL10A1",5.41008357832413e-73,2.57503328115278e-41,NA
"COL14A1",NA,0.0257499368737749,NA
"COL15A1",5.41696737510427e-17,1.88522899602889e-18,NA
"COL1A2",1.06071995437057e-30,NA,NA
"COL3A1",3.29523978316016e-54,3.73598356625476e-38,NA
"COL5A3",NA,1.91475504237638e-05,NA
"COL6A3",1.17428119645676e-37,1.90899300591163e-36,NA
"COL8A2",NA,1.36304403699826e-09,NA
"COMP",8.24204237430963e-24,1.04706021394201e-17,NA
"CORO1A",NA,7.75196701861421e-07,NA
"CXCL14",4.11780945519648e-17,1.30625046313428e-22,NA
"CXCL9",1.68093100917637e-10,3.70871000144863e-09,NA
"DIO2",4.10341377039763e-23,0.00389919054301579,NA
"FAP",2.22599602653542e-47,4.94723109342306e-06,NA
"FBLN2",NA,4.87578510116362e-06,NA
"FMO1",1.98038365511922e-13,NA,NA
"FRZB",NA,4.87578510116362e-06,NA
"GMIP",NA,1.07889099348727e-12,NA
"GREM1",1.03270042518915e-40,2.0682895620335e-08,NA
"GZMK",NA,4.23653208394658e-05,NA
"HEPH",NA,0.00191011816455119,NA
"HLA-G",NA,0.00983875979813631,NA
"IL2RB",NA,1.06187063989526e-08,NA
"ISLR",5.81463738316155e-14,NA,NA
"ITGBL1",NA,0.000607092297733996,NA
"LCK",NA,2.08394189712898e-11,NA
"LRRC15",4.72678442376767e-19,1.10854986969506e-07,NA
"LTB",1.03690310718294e-17,2.62423720158473e-26,NA
"LY96",3.13727598162362e-17,NA,NA
"MAF",NA,1.29284044259205e-05,NA
"MMP3",2.28364359203758e-13,NA,NA
"MS4A6A",NA,2.84694725036028e-05,NA
"MXRA5",1.06670476998503e-30,2.73651310470601e-49,NA
"NOX4",1.76931557365761e-15,NA,NA
"OLFML2B",3.02907680147788e-26,2.03987356523801e-39,NA
"PLXNC1",NA,2.81481958997705e-05,NA
"PTPRE",NA,0.0128121478881204,NA
"RABGAP1L",NA,0.00701627506044266,NA
"RGS1",3.23871981686763e-17,8.65888544701503e-20,NA
"SCUBE2",NA,0.000274982127095727,NA
"SELL",NA,6.36562178381072e-08,NA
"SFRP4",1.27725952052569e-15,1.4128712070324e-13,NA
"SPON2",NA,3.41887174253546e-10,NA
"SULF1",2.43327429327171e-45,5.04379124147075e-58,NA
"TAP1",1.67016557877707e-18,NA,NA
"THBS2",9.58520261954562e-61,1.16435158504126e-125,NA
"TNFSF4",2.49696819587822e-21,NA,NA
"VAV1",NA,3.3781682266048e-17,NA
"VCAM1",2.78984583307689e-20,3.87409376895848e-16,NA
"WIPF1",NA,1.0234363373551e-12,NA
