"","ID","adjP.qn","adjP.dp25","WicoxonP"
"1","ADAM12",4.20964447675202e-33,2.95896701806766e-05,0.0211271047592163
"2","ADAM8",4.01498429228167e-47,2.50950267084218e-88,NA
"3","ADCY7",NA,0.000103785062102092,NA
"4","ASPN",3.88067882113178e-11,1.12973554025726e-10,NA
"5","BGN",9.23064841061143e-14,NA,NA
"6","CCR7",NA,0.000201183124036283,NA
"7","CD2",NA,2.41460631280156e-15,NA
"8","CD248",NA,9.08665759791237e-10,NA
"9","CD27",3.52374830381425e-30,7.34213791746741e-20,NA
"10","CD300A",NA,3.27785703295483e-10,NA
"11","CD3D",NA,1.245513702791e-17,NA
"12","CD48",NA,0.000204439304311219,NA
"13","CILP",2.65869107328899e-15,3.59080010617334e-06,NA
"14","COL10A1",5.41008357832413e-73,2.57503328115278e-41,NA
"15","COL14A1",NA,0.0257499368737749,NA
"16","COL15A1",5.41696737510427e-17,1.88522899602889e-18,NA
"17","COL1A2",1.06071995437057e-30,NA,NA
"18","COL3A1",3.29523978316016e-54,3.73598356625476e-38,NA
"19","COL5A3",NA,1.91475504237638e-05,NA
"20","COL6A3",1.17428119645676e-37,1.90899300591163e-36,NA
"21","COL8A2",NA,1.36304403699826e-09,NA
"22","COMP",8.24204237430963e-24,1.04706021394201e-17,NA
"23","CORO1A",NA,7.75196701861421e-07,NA
"24","CXCL14",4.11780945519648e-17,1.30625046313428e-22,NA
"25","CXCL9",1.68093100917637e-10,3.70871000144863e-09,NA
"26","DIO2",4.10341377039763e-23,0.00389919054301579,NA
"27","FAP",2.22599602653542e-47,4.94723109342306e-06,NA
"28","FBLN2",NA,4.87578510116362e-06,NA
"29","FMO1",1.98038365511922e-13,NA,NA
"30","FRZB",NA,4.87578510116362e-06,NA
"31","GMIP",NA,1.07889099348727e-12,NA
"32","GREM1",1.03270042518915e-40,2.0682895620335e-08,NA
"33","GZMK",NA,4.23653208394658e-05,NA
"34","HEPH",NA,0.00191011816455119,NA
"35","HLA-G",NA,0.00983875979813631,NA
"36","IL2RB",NA,1.06187063989526e-08,NA
"37","ISLR",5.81463738316155e-14,NA,NA
"38","ITGBL1",NA,0.000607092297733996,NA
"39","LCK",NA,2.08394189712898e-11,NA
"40","LRRC15",4.72678442376767e-19,1.10854986969506e-07,NA
"41","LTB",1.03690310718294e-17,2.62423720158473e-26,NA
"42","LY96",3.13727598162362e-17,NA,NA
"43","MAF",NA,1.29284044259205e-05,NA
"44","MMP3",2.28364359203758e-13,NA,NA
"45","MS4A6A",NA,2.84694725036028e-05,NA
"46","MXRA5",1.06670476998503e-30,2.73651310470601e-49,NA
"47","NOX4",1.76931557365761e-15,NA,NA
"48","OLFML2B",3.02907680147788e-26,2.03987356523801e-39,NA
"49","PLXNC1",NA,2.81481958997705e-05,NA
"50","PTPRE",NA,0.0128121478881204,NA
"51","RABGAP1L",NA,0.00701627506044266,NA
"52","RGS1",3.23871981686763e-17,8.65888544701503e-20,NA
"53","SCUBE2",NA,0.000274982127095727,NA
"54","SELL",NA,6.36562178381072e-08,NA
"55","SFRP4",1.27725952052569e-15,1.4128712070324e-13,NA
"56","SPON2",NA,3.41887174253546e-10,NA
"57","SULF1",2.43327429327171e-45,5.04379124147075e-58,NA
"58","TAP1",1.67016557877707e-18,NA,NA
"59","THBS2",9.58520261954562e-61,1.16435158504126e-125,NA
"60","TNFSF4",2.49696819587822e-21,NA,NA
"61","VAV1",NA,3.3781682266048e-17,NA
"62","VCAM1",2.78984583307689e-20,3.87409376895848e-16,NA
"63","WIPF1",NA,1.0234363373551e-12,NA
