"","Genes","FDR","pValue","adjPvalue","logFC","results"
"1","ABCA6",0.333035774316001,0.290802976848392,0.333035774316001,0.0663798301305915,"0"
"2","ACTG2",6.57415362279165e-06,3.32097120990742e-06,6.57415362279165e-06,-1.28063236332288,"-1"
"3","ADAM12",1.17464460241639e-10,3.95804159509869e-11,1.17464460241639e-10,1.45376933388205,"1"
"4","ADAM8",1.5261735087721e-31,3.23169828583371e-33,1.5261735087721e-31,3.99978971271477,"1"
"5","ADAMTS5",0.0483929030178623,0.0347166478171621,0.0483929030178623,0.188122185860654,"0"
"6","ADCY7",0.00665638217402656,0.00419641484884283,0.00665638217402656,0.658161016058864,"0"
"7","AIF1",0.00255087233711468,0.00158043177408192,0.00255087233711468,-0.202371625437568,"0"
"8","ALOX5AP",8.70679270964563e-23,1.00948321271254e-23,8.70679270964564e-23,-0.893966267754903,"0"
"9","AOAH",0.497115807461307,0.448484913253136,0.497115807461307,-0.313990594781768,"0"
"10","AOC3",3.10296716150974e-29,1.34911615717814e-30,3.10296716150972e-29,-1.72938137991886,"-1"
"11","APBB1IP",0.673642771582441,0.634591016708096,0.673642771582441,-0.149198068912669,"0"
"12","ARHGAP15",0.215284057112968,0.177843351528104,0.215284057112968,0.136339910697652,"0"
"13","ARHGAP28",0.233333833736086,0.193599449005666,0.233333833736086,0.0761053689656034,"0"
"14","ARHGDIB",2.81290184644964e-10,9.98783988956758e-11,2.81290184644964e-10,0.500893819557491,"0"
"15","ARHGEF6",1.38634389597395e-21,1.75804479561913e-22,1.38634389597394e-21,-1.12831337106397,"-1"
"16","ASPN",7.4146667085289e-11,2.36409663170486e-11,7.41466670852889e-11,1.50915915098211,"1"
"17","ATP8B4",0.333035774316001,0.290802837789872,0.333035774316001,0.0527990769789838,"0"
"18","BCL2A1",2.24584749290562e-06,1.09037523206287e-06,2.24584749290561e-06,-0.64956108659493,"0"
"19","BGN",4.22728367403085e-14,1.02618842811619e-14,4.22728367403086e-14,1.00730021750401,"1"
"20","BIN2",0.0179884316609658,0.0118619368199122,0.0179884316609658,-0.447841809738732,"0"
"21","BTK",1.59985361242164e-17,2.95625124034434e-18,1.59985361242164e-17,-1.546546631892,"-1"
"22","C1QA",2.84226785673796e-23,3.19240230285786e-24,2.84226785673796e-23,-1.04356966413544,"-1"
"23","C1QB",7.16650011475594e-19,1.19441668579266e-19,7.16650011475594e-19,-1.03096059284146,"-1"
"24","C3AR1",0.269486733619961,0.228477882851706,0.269486733619961,-0.129163084634346,"0"
"25","CASP1",0.00017019355293799,9.80462859316683e-05,0.00017019355293799,-0.378816097357796,"0"
"26","CCDC69",1.04218018517902e-18,1.81248727857219e-19,1.04218018517901e-18,-0.948826363986102,"0"
"27","CCL5",0.0480062022020394,0.0342652964992818,0.0480062022020394,0.131070261941456,"0"
"28","CCR1",0.206871977421262,0.16939516991741,0.206871977421262,-0.254949409683606,"0"
"29","CCR7",4.67912376750484e-08,1.98354159709445e-08,4.67912376750485e-08,1.22717457287303,"1"
"30","CD14",0.00712760180483512,0.00451931273857299,0.00712760180483512,0.0768754276767165,"0"
"31","CD163",1.56941659519766e-07,7.05100209436632e-08,1.56941659519766e-07,-0.606691946299021,"0"
