"ID","adjP.qn","adjP.dp05","WicoxonP"
"ADAM12",4.20964447675202e-33,0.00151622802599597,0.000835388898849488
"ADAM8",4.01498429228167e-47,2.70188359362851e-58,NA
"ADCY7",NA,0.00587757062970701,NA
"ASPN",3.88067882113178e-11,1.1115734529967e-09,NA
"BGN",9.23064841061143e-14,NA,NA
"CCR7",NA,0.0192975081590873,NA
"CD2",NA,6.69666839227765e-14,NA
"CD248",NA,5.42526183489281e-09,NA
"CD27",3.52374830381425e-30,4.54219512829217e-12,NA
"CD300A",NA,7.0164739677311e-09,NA
"CD3D",NA,4.26084733827216e-18,NA
"CD48",NA,9.39728236725609e-05,NA
"CILP",2.65869107328899e-15,0.000257709335515663,NA
"COL10A1",5.41008357832413e-73,6.3554940840825e-31,NA
"COL14A1",NA,0.0475208094491866,NA
"COL15A1",5.41696737510427e-17,1.96037504967881e-13,NA
"COL1A2",1.06071995437057e-30,NA,NA
"COL3A1",3.29523978316016e-54,7.8830555419252e-72,NA
"COL5A3",NA,0.00164943048755806,NA
"COL6A3",1.17428119645676e-37,4.7673425300474e-29,NA
"COL8A2",NA,1.37419251209301e-07,NA
"COMP",8.24204237430963e-24,5.50579183829383e-15,NA
"CORO1A",NA,6.67044087427441e-13,NA
"CXCL14",4.11780945519648e-17,6.85205416622309e-22,NA
"CXCL9",1.68093100917637e-10,5.08107103406721e-09,NA
"DIO2",4.10341377039763e-23,0.0333991968347263,NA
"FAP",2.22599602653542e-47,0.00142046544973665,NA
"FBLN2",NA,9.43575747978425e-10,NA
"FMO1",1.98038365511922e-13,NA,NA
"FRZB",NA,0.000535638911824108,NA
"GBP2",NA,1.59743631531138e-08,NA
"GMIP",NA,2.00240707541541e-23,NA
"GREM1",1.03270042518915e-40,3.45073870834257e-06,NA
"GZMB",NA,0.0367282347613116,NA
"GZMK",NA,0.00435388864850201,NA
"HEPH",NA,0.0241259696881269,NA
"HLA-G",NA,0.00106544566884638,NA
"IL2RB",NA,1.81204143323698e-06,NA
"ISLR",5.81463738316155e-14,0.00149040744135748,NA
"ITGBL1",NA,0.00435388864850201,NA
"LCK",NA,5.0767025480059e-06,NA
"LCP2",NA,0.00588881844481043,NA
"LRRC15",4.72678442376767e-19,1.43829551520176e-05,NA
"LTB",1.03690310718294e-17,3.18312010620966e-19,NA
"LY96",3.13727598162362e-17,7.86312757252109e-26,NA
"MAF",NA,6.73886243286774e-07,NA
"MMP3",2.28364359203758e-13,NA,NA
"MS4A6A",NA,1.12957453701608e-07,NA
"MXRA5",1.06670476998503e-30,1.03330020367359e-38,NA
"NOX4",1.76931557365761e-15,NA,NA
"OLFML2B",3.02907680147788e-26,3.37344375810579e-31,NA
"PLXNC1",NA,0.0282778872947521,NA
"PTGER2",NA,0.0204079759874576,NA
"PTPRE",NA,1.94917210245528e-06,NA
"RABGAP1L",NA,6.35715375604731e-06,NA
"RGS1",3.23871981686763e-17,7.40814663908355e-14,NA
"RNASE6",NA,8.51779596872343e-22,NA
"RSAD2",NA,0.0381163081401412,NA
"SCUBE2",NA,0.00163689502556704,NA
"SELL",NA,7.76676576436292e-05,NA
"SFRP4",1.27725952052569e-15,9.00634681909674e-13,NA
"SPON2",NA,5.19610463185909e-11,NA
"SULF1",2.43327429327171e-45,1.30915026480428e-43,NA
"TAP1",1.67016557877707e-18,NA,NA
"THBS2",9.58520261954562e-61,2.22205880520034e-114,NA
"TNFSF4",2.49696819587822e-21,NA,NA
"VAV1",NA,1.77440528542346e-09,NA
"VCAM1",2.78984583307689e-20,2.28317764244343e-09,NA
"WIPF1",NA,3.82945263926116e-15,NA
