"Genes","FDR.qn","FDR.dp25","FriedmanP","NumExprsses"
"ADAM12",9.31908951300656e-28,1.70325036124399e-06,0.0577795711235976,10
"ADAM8",3.41874962389162e-31,4.30368173401232e-31,NA,NA
"COL10A1",5.44667330354105e-32,2.61829358479934e-25,NA,NA
"COL3A1",1.74717829212514e-30,1.16478552808343e-30,NA,NA
"COL6A3",1.43332051800145e-26,1.65960865921548e-26,NA,NA
"FAP",3.41874962389162e-31,4.62509188765835e-08,NA,NA
"GREM1",3.38739224605628e-29,7.73629521060891e-10,NA,NA
"MXRA5",1.02812928191996e-26,2.67240994938701e-26,NA,NA
"SULF1",3.38739224605628e-29,4.42038565855004e-27,NA,NA
"THBS2",3.41874962389162e-31,3.00891132684826e-31,NA,NA
