"Genes","FDR.qn","FDR.dp1","FriedmanP","NumExprsses"
"AOC3",3.38739224605628e-29,2.93669823852263e-29,0.0114120363860017,10
"CD52",9.87544793014526e-28,1.04563566319185e-27,NA,NA
"FGR",1.10954086901967e-28,5.46737427592559e-29,NA,NA
"FOXF1",3.81433695503662e-27,1.26940033135357e-39,NA,NA
"GIMAP6",2.83164385822908e-30,1.56359350880138e-30,NA,NA
"LDB2",3.20345800410432e-29,1.46722994176987e-41,NA,NA
"MSR1",9.31908951300656e-28,5.07654061964507e-28,NA,NA
"RAMP3",3.12350089209794e-28,2.82038642504197e-28,NA,NA
"TCF21",4.9793307479662e-31,8.71408848300765e-67,NA,NA
"VSIG4",3.12350089209794e-28,3.12090581555147e-28,NA,NA
