"Genes","FDR.qn","FDR.dp1","FriedmanP","NumExprsses"
"ADAM12",9.31908951300656e-28,1.89532417126888e-05,0.0577795711235976,10
"ADAM8",3.41874962389162e-31,3.54354526555519e-30,NA,NA
"COL10A1",5.44667330354105e-32,1.07902817051921e-23,NA,NA
"COL3A1",1.74717829212514e-30,1.31038371909387e-30,NA,NA
"COL6A3",1.43332051800145e-26,1.65960865921548e-26,NA,NA
"FAP",3.41874962389162e-31,3.48632126856842e-06,NA,NA
"GREM1",3.38739224605628e-29,2.57998492715216e-08,NA,NA
"MXRA5",1.02812928191996e-26,2.38717665807555e-25,NA,NA
"SULF1",3.38739224605628e-29,7.97931320989334e-26,NA,NA
"THBS2",3.41874962389162e-31,3.20228582951716e-31,NA,NA
