"Genes","FDR.qn","FDR.dp25","FriedmanP","NumExprsses"
"AOC3",3.38739224605628e-29,3.32897294534734e-29,0.205903210732068,10
"CD52",9.87544793014526e-28,1.11098789214135e-27,NA,NA
"FGR",1.10954086901967e-28,1.03735703954871e-28,NA,NA
"FOXF1",3.81433695503662e-27,1.68912218106422e-36,NA,NA
"GIMAP6",2.83164385822908e-30,1.92337377173727e-30,NA,NA
"LDB2",3.20345800410432e-29,2.16898334473327e-36,NA,NA
"MSR1",9.31908951300656e-28,8.00491953287724e-28,NA,NA
"RAMP3",3.12350089209794e-28,3.2928741004201e-28,NA,NA
"TCF21",4.9793307479662e-31,8.71901893723466e-68,NA,NA
"VSIG4",3.12350089209794e-28,3.34609849082787e-28,NA,NA
