"Genes","FDR.qn","FDR.dp10","FriedmanP","NumExprsses"
"AOC3",3.38739224605628e-29,3.10414471071118e-29,0.0114120363860017,10
"CD52",9.87544793014526e-28,9.35568751276922e-28,NA,NA
"FGR",1.10954086901967e-28,9.50529951923758e-29,NA,NA
"FOXF1",3.81433695503662e-27,5.85174054959299e-30,NA,NA
"GIMAP6",2.83164385822908e-30,3.30358450126725e-30,NA,NA
"LDB2",3.20345800410432e-29,5.85174054959299e-30,NA,NA
"MSR1",9.31908951300656e-28,8.7281243195983e-28,NA,NA
"RAMP3",3.12350089209794e-28,2.75603019890994e-28,NA,NA
"TCF21",4.9793307479662e-31,2.17124397744625e-50,NA,NA
"VSIG4",3.12350089209794e-28,2.75603019890994e-28,NA,NA
