"ID","adjP.qn","adjP.dp10","WicoxonP"
"ADAM12",4.20964447675202e-33,1.17170033589367e-12,0.531663149595261
"ADAM8",4.01498429228167e-47,1.55221792267687e-80,NA
"ASPN",3.88067882113178e-11,1.47002171347933e-08,NA
"BGN",9.23064841061143e-14,7.15364338530655e-14,NA
"CCR7",NA,2.98009575076127e-08,NA
"CD27",3.52374830381425e-30,7.82204599798288e-45,NA
"CD3D",NA,1.13970235613663e-11,NA
"CILP",2.65869107328899e-15,1.13769066647748e-08,NA
"COL10A1",5.41008357832413e-73,3.55973416940883e-76,NA
"COL15A1",5.41696737510427e-17,9.40672126254894e-28,NA
"COL1A2",1.06071995437057e-30,1.15257695446839e-27,NA
"COL3A1",3.29523978316016e-54,6.18212641063853e-47,NA
"COL5A3",NA,2.65751612618226e-13,NA
"COL6A3",1.17428119645676e-37,1.36451035534422e-37,NA
"COL8A2",NA,5.77502793725514e-06,NA
"COMP",8.24204237430963e-24,2.75921500631466e-21,NA
"CXCL14",4.11780945519648e-17,1.2301589400734e-22,NA
"CXCL9",1.68093100917637e-10,3.49062469901768e-09,NA
"DIO2",4.10341377039763e-23,1.59354070157829e-05,NA
"FAP",2.22599602653542e-47,2.61545028407769e-20,NA
"FCGR2B",NA,2.27123221177376e-07,NA
"FMO1",1.98038365511922e-13,NA,NA
"GREM1",1.03270042518915e-40,4.12076360694301e-16,NA
"GZMK",NA,1.14946182325307e-06,NA
"IL2RB",NA,4.34640528482739e-06,NA
"ISLR",5.81463738316155e-14,NA,NA
"ITGBL1",NA,3.99884587093705e-07,NA
"LCK",NA,6.41820163622275e-14,NA
"LRRC15",4.72678442376767e-19,9.57205676916426e-13,NA
"LTB",1.03690310718294e-17,5.66709665474847e-19,NA
"LY96",3.13727598162362e-17,NA,NA
"MMP3",2.28364359203758e-13,NA,NA
"MXRA5",1.06670476998503e-30,1.34032933260911e-38,NA
"NOX4",1.76931557365761e-15,NA,NA
"OLFML2B",3.02907680147788e-26,1.19311281855861e-27,NA
"PLXDC1",NA,1.69966980088255e-07,NA
"PLXNC1",NA,4.45778542132869e-21,NA
"PSTPIP1",NA,1.39632298475446e-06,NA
"RGS1",3.23871981686763e-17,2.18101918030531e-17,NA
"RHOH",NA,9.33985480088479e-05,NA
"SFRP4",1.27725952052569e-15,3.46515748213495e-16,NA
"SH2D1A",NA,0.000174936291907467,NA
"SPON2",NA,6.41256603645599e-07,NA
"SULF1",2.43327429327171e-45,1.55221792267687e-80,NA
"TAP1",1.67016557877707e-18,NA,NA
"THBS2",9.58520261954562e-61,7.6479823288602e-95,NA
"TNFSF4",2.49696819587822e-21,NA,NA
"VCAM1",2.78984583307689e-20,1.29143459739722e-27,NA
"ZAP70",NA,5.72365741991848e-06,NA
