"ID","adjP.qn","adjP.dp25","WicoxonP"
"ACTG2",NA,0.000207498071084155,8.392333984375e-05
"ALOX5AP",6.65329390546805e-27,NA,NA
"AOC3",1.0653109185707e-42,1.42721331669786e-09,NA
"ARHGEF6",NA,1.50932957108119e-23,NA
"BCL2A1",NA,0.000193679720120691,NA
"BTK",NA,3.72621258757348e-18,NA
"C1QA",3.22866001714882e-20,NA,NA
"C1QB",2.07278853650365e-18,NA,NA
"CASP1",NA,6.68605207422784e-05,NA
"CCDC69",NA,2.38002752473234e-07,NA
"CD302",NA,7.654109143482e-12,NA
"CD37",NA,0.000385537396660781,NA
"CD52",1.0854090582246e-37,NA,NA
"CD69",NA,0.00126253660065738,NA
"CD93",1.26483865427832e-32,5.98341801630156e-09,NA
"CDH5",7.69572895601567e-42,1.80427901290685e-11,NA
"COX7A1",2.91725990489337e-21,3.93512534641909e-13,NA
"CSTA",NA,3.83345896325533e-16,NA
"CXCL12",NA,3.31926594664848e-09,NA
"DDR2",NA,0.00770448842654087,NA
"EDNRA",NA,0.0205826904448964,NA
"EMCN",1.07830773576771e-37,5.98863210950453e-45,NA
"ERG",1.02866483775941e-31,5.24787617802773e-44,NA
"FGR",3.28606381979932e-44,1.62422133229302e-13,NA
"FLI1",NA,1.32770050640871e-59,NA
"FOXF1",3.28606381979932e-44,6.08203296888861e-48,NA
"FPR1",3.07588225566258e-17,6.02158777067477e-09,NA
"GIMAP5",1.29884279565208e-30,NA,NA
"GIMAP6",1.46730130808775e-64,6.23589757092332e-14,NA
"HCK",NA,2.33279716422238e-06,NA
"IL18R1",NA,2.86689786296964e-05,NA
"IL7R",1.03062056584012e-25,1.90810133983064e-07,NA
"IRF8",NA,1.27469970794594e-06,NA
"ITGAL",NA,7.86226099484216e-07,NA
"ITGAM",NA,0.0381020308177033,NA
"ITIH5",3.02907680147788e-26,1.80091864920058e-07,NA
"ITM2A",1.21570838591609e-24,2.73471904592456e-08,NA
"KCNJ8",NA,4.54418361752646e-13,NA
"KDR",NA,0.0114199160856153,NA
"LAIR1",NA,3.08400893462097e-06,NA
"LDB2",1.11620096846791e-53,1.69854974099652e-50,NA
"LMOD1",4.47543877873749e-16,2.00113065701066e-12,NA
"LRRC32",4.00847613835797e-32,1.22335649372601e-08,NA
"LST1",NA,1.66925403290171e-07,NA
"LY86",NA,1.40289028068761e-06,NA
"LYZ",3.53879011206771e-09,NA,NA
"MNDA",NA,7.61032981083606e-07,NA
"MS4A4A",NA,7.51899874609606e-05,NA
"MSR1",1.63346812812172e-38,1.33532386816261e-12,NA
"MYO1F",NA,4.67965042434519e-05,NA
"NCF2",5.33643510596851e-27,NA,NA
"NCKAP1L",NA,1.04139184022048e-12,NA
"NKG7",NA,0.000170456206040844,NA
"OLFML1",NA,2.83992587708134e-23,NA
"PCDH12",NA,1.77203238247953e-11,NA
"PDE2A",3.07678696360776e-20,NA,NA
"PRF1",NA,1.94982377169867e-06,NA
"PTGER4",NA,5.83911056724353e-33,NA
"PTGIS",NA,9.91735849296527e-08,NA
"RAMP3",8.3575313559723e-46,2.13434280798383e-11,NA
"RASSF2",NA,2.47314068606222e-06,NA
"S100A8",1.76288842244555e-05,2.834885836756e-05,NA
"SIGLEC1",NA,4.16202705061004e-08,NA
"SLA",NA,1.65944258027171e-05,NA
"SPON1",NA,0.00101981761365203,NA
"TCF21",7.84181455998427e-55,1.68591665691012e-95,NA
"TLR2",NA,0.0163971937417302,NA
"VSIG4",1.329577017812e-36,6.33225083561569e-08,NA
"ZNF423",1.64466742729983e-35,NA,NA
