"Genes","FDR.qn","FDR.dp05","FriedmanP","NumExprsses"
"ADAM12",9.31908951300656e-28,0.000168845761104404,0.0114120363860017,10
"ADAM8",3.41874962389162e-31,2.21573743925606e-28,NA,NA
"COL10A1",5.44667330354105e-32,1.34582529479149e-22,NA,NA
"COL3A1",1.74717829212514e-30,1.16478552808343e-30,NA,NA
"COL6A3",1.43332051800145e-26,1.61133898940144e-26,NA,NA
"FAP",3.41874962389162e-31,8.01440556317985e-05,NA,NA
"GREM1",3.38739224605628e-29,4.97866521085364e-07,NA,NA
"MXRA5",1.02812928191996e-26,5.7839895433802e-24,NA,NA
"SULF1",3.38739224605628e-29,9.35933037306022e-25,NA,NA
"THBS2",3.41874962389162e-31,7.79260314396985e-31,NA,NA
