"Genes","FDR.original","FDR.nn","FriedmanP","NumExprsses"
"ADAM12",4.08e-22,2.99222665497327e-23,0.00269979606326019,9
"ADAM8",2.33e-21,1.55278935027988e-23,NA,NA
"COL10A1",1.34e-28,6.27758313556417e-31,NA,NA
"COL3A1",3.35e-22,9.8102947928096e-24,NA,NA
"DIO2",4.63e-17,1.48615383670359e-17,NA,NA
"FAP",7.48e-23,4.40024977371965e-24,NA,NA
"GREM1",2.49e-25,2.62749161922097e-27,NA,NA
"SULF1",3.48e-21,1.07613296234317e-22,NA,NA
"THBS2",1.74e-24,1.10769135012558e-26,NA,NA
"WISP1",1.42e-21,NA,NA,NA
