"","Genes","FDR","pValue","adjPvalue","logFC","results"
"1","ABCA6",0.359788894553538,0.316770657161268,0.359788894553538,0.0679085328923696,"0"
"2","ACTG2",5.68631938120586e-05,2.91567033971591e-05,5.68631938120586e-05,-1.32881388235718,"-1"
"3","ADAM12",1.70325036124399e-06,7.52886029245532e-07,1.70325036124399e-06,1.23808293075914,"1"
"4","ADAM8",4.30368173401232e-31,1.24744398087313e-32,4.30368173401231e-31,5.00953399734689,"1"
"5","ADAMTS5",0.173749253872717,0.131570992968832,0.173749253872717,0.138473468595163,"0"
"6","ADCY7",7.97041270903715e-05,4.15847619601938e-05,7.97041270903715e-05,1.0423749907155,"1"
"7","AIF1",0.00265975103443055,0.00158043177408192,0.00265975103443055,-0.216431112236985,"0"
"8","ALOX5AP",8.98765699060194e-23,1.00948321271254e-23,8.98765699060195e-23,-0.765265983724451,"0"
"9","AOAH",0.402139111790619,0.356971313002542,0.402139111790619,0.255830609139188,"0"
"10","AOC3",3.32897294534734e-29,1.32676457966742e-30,3.32897294534735e-29,-1.85061615065454,"-1"
"11","APBB1IP",0.740903663636922,0.7086904608701,0.740903663636922,-0.236803501293576,"0"
"12","ARHGAP15",0.227654476459601,0.178989049736265,0.227654476459601,0.0974327156004039,"0"
"13","ARHGAP28",0.359788894553538,0.316770657161268,0.359788894553538,0.0735096244999893,"0"
"14","ARHGDIB",2.96413312851683e-10,9.98783988956758e-11,2.96413312851683e-10,0.362190124759835,"0"
"15","ARHGEF6",2.2672666862126e-22,2.71086234221071e-23,2.26726668621259e-22,-2.28144747286856,"-1"
"16","ASPN",5.76281229463213e-11,1.71213988463708e-11,5.76281229463213e-11,2.01392419583211,"1"
"17","ATP8B4",0.458512556898295,0.415319345016571,0.458512556898295,0.0388548387158232,"0"
"18","BCL2A1",2.41815988758559e-06,1.0864196596399e-06,2.41815988758559e-06,-0.932099131015508,"0"
"19","BGN",4.35735394092411e-14,1.02618842811619e-14,4.35735394092412e-14,0.811774651792005,"0"
"20","BIN2",0.0512327132479213,0.0356401483463801,0.0512327132479213,-0.419528285478743,"0"
"21","BTK",2.69888050483261e-19,4.10699207257137e-20,2.69888050483261e-19,-2.10835014726802,"-1"
"22","C1QA",3.03828632961645e-23,3.19240230285786e-24,3.03828632961645e-23,-0.83599921231336,"0"
"23","C1QB",7.16650011475594e-19,1.19441668579266e-19,7.16650011475594e-19,-0.807655423283759,"0"
"24","C3AR1",0.277796257361904,0.228477356598377,0.277796257361904,-0.207528876433843,"0"
"25","CASP1",0.00018123643890032,9.78414108556075e-05,0.00018123643890032,-0.749300128644047,"0"
"26","CCDC69",1.06379686554245e-18,1.81153814059765e-19,1.06379686554245e-18,-1.19025315416584,"-1"
"27","CCL5",0.0495142467210029,0.0342652939264911,0.0495142467210029,0.055682068642148,"0"
"28","CCR1",0.221242062497296,0.171542758602976,0.221242062497296,-0.40716323147201,"0"
"29","CCR7",5.11584447950028e-06,2.40963689251825e-06,5.11584447950028e-06,1.118499319601,"1"
"30","CD14",0.00733723715203615,0.00451931273857299,0.00733723715203615,0.0315064879689455,"0"
"31","CD163",1.66311336317316e-07,7.050154474321e-08,1.66311336317316e-07,-0.716688283997225,"0"
"32","CD2",1.2891552616437e-11,3.78339044178042e-12,1.2891552616437e-11,1.33751712122661,"1"
"33","CD200",0.0341771652544618,0.0224132859096289,0.0341771652544618,0.537461914814034,"0"
"34","CD247",0.882985159498126,0.863437437831102,0.882985159498126,0.0307825113504707,"0"
"35","CD248",2.21528245224202e-09,8.10664955349437e-10,2.21528245224203e-09,1.3735876740441,"1"
"36","CD27",1.3436692605636e-18,2.38549977418901e-19,1.34366926056361e-18,3.08784344871269,"1"
"37","CD300A",2.10894644136681e-09,7.6411102948073e-10,2.10894644136681e-09,1.48048577481259,"1"
"38","CD302",3.80589000640833e-09,1.42031402413064e-09,3.80589000640832e-09,-2.00245113050095,"-1"
"39","CD33",0.190435566823504,0.145586610868693,0.190435566823504,-0.105974420210717,"0"
"40","CD37",1.34604425076561e-07,5.60851771152337e-08,1.34604425076561e-07,-0.726554136779892,"0"
"41","CD3D",5.52493749259879e-15,1.20107336795626e-15,5.5249374925988e-15,2.06590359082213,"1"
"42","CD48",0.000299020290660638,0.000164677841233395,0.000299020290660639,0.838415112764405,"0"
"43","CD52",1.11098789214135e-27,6.44050951965997e-29,1.11098789214134e-27,-0.843179101728483,"0"
"44","CD53",1.51015465718291e-05,7.38662604056859e-06,1.51015465718291e-05,-0.165585419859453,"0"
"45","CD69",0.000772145167829636,0.00044202513230827,0.000772145167829636,-1.03669229853683,"-1"
"46","CD74",0.501398485013353,0.459615277928907,0.501398485013353,-0.248962183248715,"0"
"47","CD86",0.57231427887452,0.532915832140404,0.57231427887452,-0.209208290696124,"0"
"48","CD93",9.42967615303802e-24,9.22468319318936e-25,9.42967615303801e-24,-1.11579659707002,"-1"
"49","CDH5",5.32154011970104e-27,3.47056964328329e-28,5.32154011970105e-27,-2.14268974967711,"-1"
"50","CH25H",0.868210120615098,0.843044609872632,0.868210120615098,-0.102574315145107,"0"
"51","CILP",9.45918715521724e-07,4.11269006748576e-07,9.45918715521724e-07,1.42146777600947,"1"
"52","CLEC2B",0.477124524541619,0.435635435451044,0.477124524541619,-0.452224000867845,"0"
"53","CLEC4A",0.33423333675673,0.280949761331744,0.33423333675673,-0.370227728336607,"0"
"54","CLEC7A",0.726267082248568,0.692058850113672,0.726267082248568,-0.0776587675802163,"0"
"55","COL10A1",2.61829358479934e-25,2.18191132066611e-26,2.61829358479934e-25,4.50954595353925,"1"
"56","COL14A1",0.0246760177023324,0.0158669819598398,0.0246760177023324,0.752970241393158,"0"
