"Genes","FDR.qn","FDR.dp05","FriedmanP","NumExprsses"
"AOC3",3.38739224605628e-29,2.92941199695852e-29,0.0114120363860017,10
"CD52",9.87544793014526e-28,1.04563566319185e-27,NA,NA
"FGR",1.10954086901967e-28,1.8048271741405e-29,NA,NA
"FOXF1",3.81433695503662e-27,4.50617017196711e-41,NA,NA
"GIMAP6",2.83164385822908e-30,5.35057744853434e-31,NA,NA
"LDB2",3.20345800410432e-29,2.74361082488323e-47,NA,NA
"MSR1",9.31908951300656e-28,2.46000733798424e-28,NA,NA
"RAMP3",3.12350089209794e-28,2.21573743925606e-28,NA,NA
"TCF21",4.9793307479662e-31,2.54780741914617e-61,NA,NA
"VSIG4",3.12350089209794e-28,2.92116082611285e-28,NA,NA
