"ID","adjP.qn","adjP.dp10","WicoxonP"
"ACTG2",NA,9.05409947679336e-06,0.000631332397460937
"ALOX5AP",6.65329390546805e-27,5.84673304002031e-26,NA
"AOC3",1.0653109185707e-42,4.02202799089672e-22,NA
"BTK",NA,3.63326530471942e-09,NA
"C1QA",3.22866001714882e-20,9.06596058894253e-22,NA
"C1QB",2.07278853650365e-18,6.96717768535006e-20,NA
"CD302",NA,7.2140677139405e-08,NA
"CD33",NA,8.84125702058844e-10,NA
"CD52",1.0854090582246e-37,6.69616528737512e-38,NA
"CD69",NA,1.08306238887764e-05,NA
"CD93",1.26483865427832e-32,4.46448448005514e-30,NA
"CDH5",7.69572895601567e-42,1.78046798757128e-24,NA
"COX7A1",2.91725990489337e-21,7.02941274677555e-09,NA
"CSTA",NA,6.79534047894612e-07,NA
"CXCL12",NA,9.95155373692121e-06,NA
"DDR2",NA,3.86711512890835e-08,NA
"DOCK2",NA,1.59354070157829e-05,NA
"ECM2",NA,7.71521749325532e-10,NA
"EMCN",1.07830773576771e-37,4.6880823841088e-28,NA
"ERG",1.02866483775941e-31,7.45777961761964e-24,NA
"FGR",3.28606381979932e-44,6.2209484703053e-17,NA
"FLI1",NA,9.29937333149705e-15,NA
"FOXF1",3.28606381979932e-44,1.74577901367461e-27,NA
"FPR1",3.07588225566258e-17,1.97453341074296e-07,NA
"GIMAP5",1.29884279565208e-30,NA,NA
"GIMAP6",1.46730130808775e-64,1.52078048793966e-46,NA
"GPR65",NA,1.40260263592965e-07,NA
"GZMH",NA,0.0131569615875086,NA
"IL18R1",NA,1.37210216940148e-06,NA
"IL1B",NA,0.000413624945805338,NA
"IL7R",1.03062056584012e-25,4.55115443326906e-16,NA
"ITIH5",3.02907680147788e-26,9.2322216501426e-42,NA
"ITM2A",1.21570838591609e-24,1.3556003805984e-11,NA
"KCNJ8",NA,1.63939072079626e-06,NA
"LDB2",1.11620096846791e-53,4.89216335324926e-20,NA
"LILRB2",NA,0.00532810698466731,NA
"LMOD1",4.47543877873749e-16,5.14020775127754e-09,NA
"LRRC32",4.00847613835797e-32,2.65924183758685e-16,NA
"LYZ",3.53879011206771e-09,NA,NA
"MSR1",1.63346812812172e-38,8.75885579797629e-15,NA
"NCF2",5.33643510596851e-27,NA,NA
"OLFML1",NA,5.49960399667262e-14,NA
"P2RY14",NA,3.4292335372451e-10,NA
"PCDH12",NA,3.49062469901768e-09,NA
"PDE2A",3.07678696360776e-20,2.03612211254865e-07,NA
"PIK3R5",NA,1.60315211981766e-08,NA
"PRF1",NA,0.000158743071543973,NA
"PRKG1",NA,2.05234167471551e-13,NA
"PTGER4",NA,1.87757661700429e-10,NA
"PTGIS",NA,7.35192078615453e-06,NA
"RAMP3",8.3575313559723e-46,6.6752860807206e-21,NA
"S100A8",1.76288842244555e-05,NA,NA
"SIGLEC1",NA,1.02191345345226e-06,NA
"TCF21",7.84181455998427e-55,3.34626998694145e-68,NA
"VNN2",NA,0.0143720730864668,NA
"VSIG4",1.329577017812e-36,5.30254105837177e-31,NA
"WNT2",NA,4.52589724083604e-07,NA
"ZEB2",NA,7.03194117348291e-28,NA
"ZNF423",1.64466742729983e-35,NA,NA
