"","Genes","FDR","pValue","adjPvalue","logFC","results"
"1","ABCA6",0.334423423375651,0.290802976848392,0.334423423375651,0.0635087010479538,"0"
"2","ACTG2",7.31702878554064e-06,3.8440912097949e-06,7.31702878554064e-06,-1.09533235640029,"-1"
"3","ADAM12",8.62496508051422e-12,2.65623924581054e-12,8.62496508051422e-12,1.48269347481032,"1"
"4","ADAM8",2.10392964572773e-31,2.9345686955855e-33,2.10392964572772e-31,3.30269345240865,"1"
"5","ADAMTS5",0.0244628875821632,0.0166631263240822,0.0244628875821632,0.222029597900156,"0"
"6","ADCY7",0.0687823071043102,0.0503406740401111,0.0687823071043102,0.443683465504241,"0"
"7","AIF1",0.00252138248350641,0.00158043177408192,0.00252138248350641,-0.215370629125797,"0"
"8","ALOX5AP",8.44295050632306e-23,1.00948321271254e-23,8.44295050632304e-23,-1.02698901494539,"-1"
"9","AOAH",0.467923297512697,0.420452818054887,0.467923297512697,-0.295579835965184,"0"
"10","AOC3",3.10414471071118e-29,1.34962813509181e-30,3.10414471071116e-29,-1.70343063858927,"-1"
"11","APBB1IP",0.678884558457738,0.63460947855832,0.678884558457738,-0.100356103846856,"0"
"12","ARHGAP15",0.202047184842279,0.163980323929966,0.202047184842279,0.13568099951111,"0"
"13","ARHGAP28",0.217625452542771,0.178989049736265,0.217625452542771,0.0850846260748637,"0"
"14","ARHGDIB",2.75664380952065e-10,9.98783988956758e-11,2.75664380952065e-10,0.515939834674602,"0"
"15","ARHGEF6",1.3923139637955e-21,1.76561553379863e-22,1.39231396379549e-21,-0.824420539053025,"0"
"16","ASPN",7.29610714908438e-11,2.43203571636146e-11,7.29610714908437e-11,1.24581584671773,"1"
"17","ATP8B4",0.289226917881787,0.246262049645724,0.289226917881787,0.0581904452064431,"0"
"18","BCL2A1",2.19688498768986e-06,1.09048276562866e-06,2.19688498768986e-06,-0.514081695545815,"0"
"19","BGN",4.14174293462156e-14,1.02618842811619e-14,4.14174293462156e-14,1.10931665738469,"1"
"20","BIN2",0.0171248455036614,0.0112924705857477,0.0171248455036614,-0.327100349183699,"0"
"21","BTK",3.42573490676849e-17,6.45428315767977e-18,3.42573490676849e-17,-1.1834727647578,"-1"
"22","C1QA",2.84226785673796e-23,3.19240230285786e-24,2.84226785673796e-23,-1.09253731902089,"-1"
"23","C1QB",7.01402138891005e-19,1.19441668579266e-19,7.01402138891007e-19,-1.10374857356967,"-1"
"24","C3AR1",0.271382439781617,0.228477882851706,0.271382439781617,-0.0968814160477605,"0"
"25","CASP1",0.000167042204812521,9.80465115203926e-05,0.000167042204812521,-0.310614583166685,"0"
"26","CCDC69",1.04218018517902e-18,1.81248727857219e-19,1.04218018517901e-18,-0.757468746967324,"0"
"27","CCL5",0.0477637466353625,0.0342652964992818,0.0477637466353625,0.200409957840008,"0"
"28","CCR1",0.206875094402902,0.169397722228463,0.206875094402902,-0.186366269994322,"0"
"29","CCR7",2.69728142994113e-08,1.17273105649614e-08,2.69728142994113e-08,1.15269455496603,"1"
"30","CD14",0.00696832578684997,0.00451931273857299,0.00696832578684998,0.132613677419188,"0"
"31","CD163",1.52037493770847e-07,7.05101420386538e-08,1.52037493770847e-07,-0.540304500591891,"0"
"32","CD2",1.24188867297986e-11,3.95964504428362e-12,1.24188867297986e-11,0.695057146232492,"0"
"33","CD200",0.0268008022281344,0.0184498276208171,0.0268008022281344,0.411404586349636,"0"
"34","CD247",0.744329629953571,0.706573779158825,0.744329629953571,0.114318572250378,"0"
"35","CD248",2.97645960719559e-09,1.18627013330259e-09,2.97645960719559e-09,0.639218114560672,"0"
"36","CD27",3.46112572541694e-23,4.01289939178776e-24,3.46112572541694e-23,2.58636311128781,"1"
