"ID","adjP.qn","adjP.dp1","WicoxonP"
"ADAM12",4.20964447675202e-33,0.000879535006252973,0.0012979805469513
"ADAM8",4.01498429228167e-47,3.0914696696244e-63,NA
"ADCY7",NA,0.00514240582508457,NA
"AOAH",NA,0.0288747990376606,NA
"ASPN",3.88067882113178e-11,5.55238610561925e-10,NA
"BGN",9.23064841061143e-14,NA,NA
"CCR7",NA,0.0156270556346962,NA
"CD2",NA,1.17187803705533e-15,NA
"CD248",NA,1.56541857047377e-09,NA
"CD27",3.52374830381425e-30,5.74637009426012e-13,NA
"CD300A",NA,1.12045093776283e-08,NA
"CD3D",NA,1.05099656131994e-18,NA
"CD48",NA,5.56003063238289e-05,NA
"CILP",2.65869107328899e-15,0.000187359931056778,NA
"COL10A1",5.41008357832413e-73,5.62099391396862e-32,NA
"COL14A1",NA,0.0472545678224702,NA
"COL15A1",5.41696737510427e-17,2.11309167242364e-14,NA
"COL1A2",1.06071995437057e-30,NA,NA
"COL3A1",3.29523978316016e-54,3.0971259045429e-71,NA
"COL5A3",NA,0.000801819986556646,NA
"COL6A3",1.17428119645676e-37,5.76106565658328e-29,NA
"COL8A2",NA,8.4939831813635e-08,NA
"COMP",8.24204237430963e-24,2.77785961779522e-15,NA
"CORO1A",NA,2.50459543548529e-12,NA
"CXCL14",4.11780945519648e-17,8.73203145828179e-23,NA
"CXCL9",1.68093100917637e-10,5.79581626819703e-09,NA
"DIO2",4.10341377039763e-23,0.0243706488285409,NA
"FAP",2.22599602653542e-47,0.00088927488132025,NA
"FBLN2",NA,2.8951444491875e-09,NA
"FMO1",1.98038365511922e-13,NA,NA
"FRZB",NA,0.000408579723343176,NA
"GMIP",NA,6.80375750806598e-25,NA
"GREM1",1.03270042518915e-40,2.35920645336727e-06,NA
"GZMK",NA,0.00239766341474865,NA
"HEPH",NA,0.0188295312370764,NA
"HLA-G",NA,0.000834514359767718,NA
"IL2RB",NA,3.17204621572959e-07,NA
"ISLR",5.81463738316155e-14,0.00120144464142679,NA
"ITGBL1",NA,0.00253096596566602,NA
"LCK",NA,4.98984075298879e-07,NA
"LCP2",NA,0.0213056543001921,NA
"LRRC15",4.72678442376767e-19,9.8215587319572e-06,NA
"LTB",1.03690310718294e-17,2.80676769645696e-20,NA
"LY96",3.13727598162362e-17,1.01144559442809e-29,NA
"MAF",NA,3.4476084026616e-06,NA
"MMP3",2.28364359203758e-13,NA,NA
"MS4A6A",NA,8.17192067389334e-06,NA
"MXRA5",1.06670476998503e-30,8.95977216360861e-41,NA
"NOX4",1.76931557365761e-15,NA,NA
"OLFML2B",3.02907680147788e-26,2.55861873170778e-34,NA
"PLXNC1",NA,0.02661953222052,NA
"PTGER2",NA,0.0271605136815692,NA
"PTPRE",NA,2.84036696090656e-06,NA
"RABGAP1L",NA,2.64129881053096e-06,NA
"RGS1",3.23871981686763e-17,1.44003762884457e-14,NA
"RNASE6",NA,4.8188316199289e-21,NA
"SCUBE2",NA,0.00117138153242421,NA
"SELL",NA,3.01841965858962e-05,NA
"SFRP4",1.27725952052569e-15,1.7063560129614e-13,NA
"SPON2",NA,1.1627837330837e-11,NA
"SULF1",2.43327429327171e-45,1.5135736055874e-47,NA
"TAP1",1.67016557877707e-18,NA,NA
"THBS2",9.58520261954562e-61,3.05395593342713e-121,NA
"TNFSF4",2.49696819587822e-21,NA,NA
"VAV1",NA,1.38446522291162e-10,NA
"VCAM1",2.78984583307689e-20,3.16054540997845e-10,NA
"WIPF1",NA,2.37131886443563e-12,NA
