"","Genes","FDR","pValue","adjPvalue","logFC","results"
"1","ABCA6",0.411337839443516,0.345762241851072,0.411337839443516,0.0698423955792328,"0"
"2","ACTG2",0.00012773141224314,6.6179680981047e-05,0.00012773141224314,-1.40098843624826,"-1"
"3","ADAM12",1.89532417126888e-05,9.13326502821596e-06,1.89532417126888e-05,1.24460060920521,"1"
"4","ADAM8",3.54354526555519e-30,1.28389321215767e-31,3.54354526555517e-30,5.78830011603285,"1"
"5","ADAMTS5",0.255662544295058,0.193599535353866,0.255662544295058,0.112098522526841,"0"
"6","ADCY7",8.77375583943136e-05,4.4186668901484e-05,8.77375583943136e-05,1.06074861474101,"1"
"7","AIF1",0.00269258704881992,0.00158043152865517,0.00269258704881992,-0.219179426434778,"0"
"8","ALOX5AP",9.28724555695534e-23,1.00948321271254e-23,9.28724555695535e-23,-0.825512280090731,"0"
"9","AOAH",0.16251228751037,0.118940152453242,0.16251228751037,0.517828066353573,"0"
"10","AOC3",2.93669823852263e-29,1.27682532109679e-30,2.93669823852261e-29,-2.19895767427897,"-1"
"11","APBB1IP",0.783895074133953,0.744132280518462,0.783895074133953,-0.0874397907560867,"0"
"12","ARHGAP15",0.411337839443516,0.345762241851072,0.411337839443516,0.068268695119806,"0"
"13","ARHGAP28",0.411337839443516,0.345762241851072,0.411337839443516,0.0769043259400829,"0"
"14","ARHGDIB",3.02927891156116e-10,9.98783988956758e-11,3.02927891156116e-10,0.187466218182508,"0"
"15","ARHGEF6",4.042743609407e-24,3.51542922557131e-25,4.04274360940701e-24,-3.27904061012714,"-1"
"16","ASPN",1.02088504202725e-10,3.14403002073611e-11,1.02088504202725e-10,2.51253269654377,"1"
"17","ATP8B4",0.515665921578774,0.457755761097802,0.515665921578774,0.0430127534500164,"0"
"18","BCL2A1",2.51340205560355e-06,1.07457044406239e-06,2.51340205560355e-06,-1.2254479879277,"-1"
"19","BGN",4.49568263746139e-14,1.02618842811619e-14,4.49568263746139e-14,0.454967908571003,"0"
"20","BIN2",0.440613922104403,0.374333165896336,0.440613922104403,-0.136979234950547,"0"
"21","BTK",3.30491781270501e-17,5.86742655154151e-18,3.30491781270501e-17,-1.89247438569173,"-1"
"22","C1QA",3.03828632961645e-23,3.19240230285786e-24,3.03828632961645e-23,-0.456252442180064,"0"
"23","C1QB",7.84902393520889e-19,1.19441668579266e-19,7.84902393520889e-19,-0.441460648596943,"0"
"24","C3AR1",0.293294922154776,0.228472493707525,0.293294922154776,-0.320837217047255,"0"
