"ID","adjP.qn","adjP.dp5","WicoxonP"
"ACTG2",NA,2.16815618805941e-06,0.000322341918945313
"ALOX5AP",6.65329390546805e-27,NA,NA
"AOC3",1.0653109185707e-42,5.02549494529162e-17,NA
"ARHGEF6",NA,7.73335404487795e-10,NA
"BTK",NA,1.94681363472678e-12,NA
"C1QA",3.22866001714882e-20,4.07344193154118e-24,NA
"C1QB",2.07278853650365e-18,9.71359522829796e-22,NA
"CD302",NA,4.30911359495057e-09,NA
"CD52",1.0854090582246e-37,1.87742005365584e-32,NA
"CD69",NA,3.09721527000615e-05,NA
"CD93",1.26483865427832e-32,5.8456581746192e-22,NA
"CDH5",7.69572895601567e-42,7.79015702884215e-20,NA
"COX7A1",2.91725990489337e-21,1.18475679325621e-09,NA
"CSTA",NA,1.75748459378956e-08,NA
"CXCL12",NA,3.10417644420895e-06,NA
"DDR2",NA,2.66925063556083e-08,NA
"DOCK2",NA,2.51144147414952e-05,NA
"ECM2",NA,2.40085729014622e-09,NA
"EMCN",1.07830773576771e-37,8.2590637194575e-34,NA
"ERG",1.02866483775941e-31,3.10285168072329e-28,NA
"FGR",3.28606381979932e-44,5.91071541780543e-17,NA
"FLI1",NA,3.49583178868383e-23,NA
"FOXF1",3.28606381979932e-44,7.56688733002e-34,NA
"FPR1",3.07588225566258e-17,8.28121077134653e-08,NA
"GIMAP5",1.29884279565208e-30,NA,NA
"GIMAP6",1.46730130808775e-64,8.17215788469029e-35,NA
"GPR65",NA,3.54017798255158e-05,NA
"GZMH",NA,0.0265137772524249,NA
"IL18R1",NA,2.01721703023927e-05,NA
"IL1B",NA,0.0110619244162274,NA
"IL7R",1.03062056584012e-25,7.62527918498609e-13,NA
"ITGAL",NA,1.93263758517228e-05,NA
"ITIH5",3.02907680147788e-26,1.15624840372496e-39,NA
"ITM2A",1.21570838591609e-24,7.14194965424105e-11,NA
"KCNJ8",NA,8.58020464543288e-08,NA
"LAIR1",NA,0.000212202206852748,NA
"LDB2",1.11620096846791e-53,6.1985366834667e-25,NA
"LMOD1",4.47543877873749e-16,1.08369576258656e-09,NA
"LRRC32",4.00847613835797e-32,7.53187427515628e-14,NA
"LST1",NA,9.98752579615536e-07,NA
"LY86",NA,5.55581300880883e-07,NA
"LYZ",3.53879011206771e-09,NA,NA
"MNDA",NA,7.56237984010351e-10,NA
"MSR1",1.63346812812172e-38,1.11006887274516e-13,NA
"NCF2",5.33643510596851e-27,NA,NA
"NCKAP1L",NA,8.73332546520817e-07,NA
"NKG7",NA,0.000591952840576886,NA
"OLFML1",NA,1.67729725739712e-17,NA
"P2RY14",NA,2.60001170555e-06,NA
"PCDH12",NA,1.26030302930548e-10,NA
"PDE2A",3.07678696360776e-20,NA,NA
"PIK3R5",NA,3.11749024162776e-08,NA
"PRF1",NA,7.39959935215068e-05,NA
"PRKG1",NA,5.30335777277349e-08,NA
"PTGER4",NA,5.74205170587075e-13,NA
"PTGIS",NA,7.46533646667832e-07,NA
"RAMP3",8.3575313559723e-46,2.94578344238883e-17,NA
"S100A8",1.76288842244555e-05,8.36595551588738e-05,NA
"SIGLEC1",NA,4.4295217390712e-07,NA
"TCF21",7.84181455998427e-55,1.01774618418421e-81,NA
"VSIG4",1.329577017812e-36,2.43091402326382e-21,NA
"WNT2",NA,8.36938834090807e-06,NA
"ZEB2",NA,3.80393494909806e-38,NA
"ZNF423",1.64466742729983e-35,NA,NA
